#
# Full target list for orbit 71, sector 32
# Created Wed Feb  3 18:29:43 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
 13934072	3	2	 8.13	 75.0488	-37.9946
 13955147	3	2	 8.74	 75.2164	-41.0185
 14001734	3	2	11.74	 76.0993	-37.5057
 14161523	3	2	 8.34	 77.6873	-38.2924
 14164720	3	2	 8.07	 78.0078	-40.3481
 14164726	3	2	14.94	 78.0759	-40.3263
 20061482	3	1	15.42	 88.6439	-38.1170
 20096356	3	1	 8.85	 89.4617	-38.0677
 20143614	3	1	14.79	 89.5611	-37.5743
 20181050	3	1	 8.03	 90.0320	-38.1677
 20299658	3	1	12.70	 90.9639	-39.5464
 21438038	3	1	 8.06	 85.3633	-41.7219
 21540586	3	1	10.33	 86.3177	-38.6136
 21618270	3	1	 8.01	 86.7938	-39.1119
 24358417	3	1	11.70	 81.3447	-34.6682
 24360361	2	2	 8.10	 81.5222	-30.6728
 24398462	3	1	 8.09	 81.5840	-33.1652
 24405903	1	2	 8.03	 79.4270	 -6.6139
 24450633	3	1	13.72	 82.3564	-32.8176
 24451876	3	1	 8.04	 82.3927	-35.4004
 24452802	3	1	10.91	 82.4363	-32.6539
 24518895	2	3	11.89	 79.9875	-11.4124
 24523185	3	1	 8.06	 82.8069	-31.3035
 24528012	2	3	 8.14	 80.2426	-11.6149
 24606215	2	3	 8.10	 80.8090	 -8.5572
 24720349	2	3	 9.97	 81.4239	 -9.1545
 24722822	2	3	 8.07	 81.4992	 -6.9635
 24773594	2	3	10.10	 81.6665	 -8.7600
 24776909	2	3	 9.91	 81.7645	 -8.6409
 25078597	4	3	11.75	 60.3430	-70.8621
 25118964	4	3	12.03	 61.9332	-68.4196
 25132314	4	3	 8.03	 62.1285	-68.7022
 25132999	4	3	10.81	 62.0298	-71.4496
 25133286	4	3	13.58	 62.2984	-71.2948
 25153759	4	3	17.32	 63.0189	-68.1525
 25155310	4	3	10.61	 63.3750	-69.2265
 29762078	4	2	 8.62	 64.5395	-67.2440
 29779873	4	3	12.49	 64.8065	-71.3531
 29780677	4	3	13.23	 65.0563	-70.0960
 29830830	4	2	11.70	 66.4721	-66.8995
 29986479	4	3	 8.01	 72.8589	-68.4398
 30037565	4	3	 9.60	 73.5421	-70.3790
 30631031	4	3	 7.28	 75.1644	-70.6238
 30848598	4	3	10.90	 75.7377	-68.5667
 30853028	4	2	 8.11	 75.7767	-66.9099
 30944189	2	2	12.16	 79.3294	-26.4893
 30960928	2	2	 8.03	 79.9293	-25.2549
 31092490	2	2	 8.06	 80.7578	-27.4031
 31189268	4	3	12.84	 76.8662	-69.8789
 31192698	2	2	 7.01	 81.8534	-26.5852
 31266926	4	3	 9.64	 88.1558	-71.5155
 31373667	2	2	11.89	 83.2973	-29.2389
 31378425	2	2	 8.16	 83.4540	-29.0011
 31381302	4	3	12.49	 88.3604	-71.5615
 31383649	4	3	 7.87	 88.7143	-70.5080
 31511890	4	3	 8.04	 89.3423	-67.4283
 32072326	4	3	 8.85	 58.1708	-69.4257
 32089522	4	3	12.98	 58.2899	-71.6783
 32090581	4	3	13.51	 58.4151	-68.7409
 32090583	4	3	13.33	 58.4226	-68.7383
 32497834	2	2	 8.14	 84.0668	-24.6268
 32499622	2	2	 5.83	 84.3187	-27.8716
 32499655	2	2	13.54	 84.3268	-27.9726
 32500778	2	2	 6.86	 84.4153	-28.6263
 32501143	2	2	 8.12	 84.3876	-27.5847
 32556882	2	2	13.59	 84.9135	-28.5587
 32644711	2	2	13.11	 85.5995	-27.9676
 32681367	2	2	 8.06	 85.8688	-25.6223
 32707957	2	2	 8.37	 86.2456	-29.7657
 32811633	2	2	11.66	 86.4593	-27.1626
 32830560	2	2	 8.04	 86.8956	-24.0356
 32874669	2	2	 9.55	 87.2775	-27.5654
 32875139	2	2	 8.11	 87.3344	-26.7074
 32926505	2	2	 9.78	 87.2944	-24.0455
 32949762	2	2	12.34	 87.6796	-27.6234
 33102973	2	2	 8.17	 88.7806	-28.7012
 33105293	2	2	 8.63	 88.9321	-26.8566
 33419248	2	2	 8.02	 87.4046	-22.2269
 33473432	2	2	 8.00	 87.8773	-19.0830
 33521996	2	2	13.34	 88.1468	-19.0316
 33714875	4	3	12.40	 60.3684	-72.4247
 33714944	4	3	12.31	 60.3995	-72.2542
 33834484	4	3	14.11	 63.8381	-72.8615
 33834564	4	3	13.83	 63.7863	-72.6418
 33836359	4	3	 8.08	 64.0614	-75.3440
 33837062	4	3	13.84	 63.9284	-77.5174
 33864387	4	3	11.40	 65.4140	-72.5654
 33866201	4	3	13.79	 65.6938	-75.1279
 33878688	4	3	11.18	 66.2218	-73.3336
 33878971	4	3	13.00	 66.1452	-72.7155
 33881250	4	3	12.88	 66.3439	-76.5018
 34273997	1	1	 8.00	 62.1207	 -7.4812
 34308493	2	4	 8.00	 62.2812	 -9.2367
 34512862	2	3	 9.65	 83.0082	 -7.2570
 37817255	1	1	 8.13	 65.4528	 -6.5062
 37904598	1	1	11.21	 66.1784	 -6.7920
 37950380	2	4	 8.60	 66.7854	 -8.8986
 37991571	1	1	 8.07	 66.9502	 -8.3707
 37993129	2	4	 8.27	 67.1284	-10.5355
 38127678	1	1	 9.08	 68.4680	 -6.2465
 38127832	1	1	 5.88	 68.4780	 -6.7389
 38461205	4	2	11.80	 61.2415	-63.9086
 38469560	4	2	 8.05	 61.9716	-64.6040
 38469670	4	2	 5.78	 61.8426	-64.2204
 38510324	4	2	 6.62	 62.5310	-61.5994
 38515329	4	2	 8.02	 62.7588	-62.4473
 38515801	4	2	13.27	 62.5520	-63.8560
 38518773	4	2	12.71	 63.1948	-60.8882
 38583513	4	2	14.26	 63.5292	-65.4135
 38586127	4	2	 9.79	 64.1214	-61.0837
 38586438	4	2	11.67	 64.0893	-62.0133
 38633493	4	2	 8.03	 64.9985	-61.0058
 38811498	4	2	 8.02	 67.3874	-65.3774
 38827910	4	2	 9.75	 68.4858	-61.4878
 38846515	4	2	10.32	 68.9599	-64.0270
 38906005	4	2	 9.61	 69.4424	-60.5234
 38954456	4	2	 8.16	 70.2612	-60.8458
 40898510	4	3	13.01	 78.7285	-69.5618
 41173667	4	3	 8.13	 91.3987	-69.9151
 41259805	4	3	 8.84	 92.1221	-71.1199
 41533357	4	3	 6.07	 93.7748	-71.7024
 43472154	2	3	 9.50	 74.7024	 -8.7278
 43528564	2	3	 8.15	 75.1109	 -8.2918
 43529091	2	3	12.66	 75.2158	 -9.5160
 43605290	1	2	 9.43	 75.4860	 -6.9493
 43646803	1	2	 8.06	 76.0745	 -6.6203
 43647325	1	2	10.44	 76.0819	 -6.2298
 43648157	2	3	 9.97	 76.1171	 -8.0135
 43784522	2	3	 8.01	 77.3417	-11.1288
 43788367	2	3	 9.96	 77.5967	 -7.1722
 43867000	2	3	 8.07	 77.9009	 -7.8178
 44890689	2	1	 8.00	 63.2599	-26.4343
 44892011	2	1	14.41	 63.4177	-27.0750
 46313387	2	3	 8.42	 83.1852	-15.2187
 46528984	2	3	 8.12	 84.3949	-12.6992
 46556373	2	3	 8.01	 84.6928	-17.0709
 46625172	2	3	12.12	 84.9791	-13.1334
 47279259	1	3	 8.12	 80.6437	 16.8039
 50620873	1	2	13.99	 82.2481	 -3.5646
 50622172	1	2	 8.02	 82.2872	 -5.7910
 50722946	1	2	 9.20	 82.7330	 -2.6989
 50724937	1	2	 8.67	 82.8267	 -5.7038
 50745567	1	2	11.28	 82.9912	 -3.0605
 50745582	1	2	 9.28	 83.0188	 -3.0917
 50748079	1	2	 8.89	 83.1125	 -4.5756
 50789967	1	2	 8.02	 83.2652	 -1.2410
 50794045	1	2	 8.97	 83.3230	 -4.3536
 55269690	4	2	11.11	 76.2403	-63.8180
 55272404	4	2	 7.22	 76.5466	-62.7878
 55401680	4	2	 8.00	 77.9797	-60.6550
 55452078	4	2	10.34	 70.6846	-63.7046
 55478693	4	2	 8.01	 71.2144	-64.9763
 55523561	4	2	 8.22	 72.0654	-62.4282
 55557707	4	2	10.77	 73.0714	-60.3940
 55604274	4	2	 8.04	 73.5677	-59.9433
 55604374	4	2	11.83	 73.6575	-60.2346
 55650407	4	2	15.03	 73.8641	-62.9784
 55650590	4	2	12.43	 73.7386	-62.5217
 55652896	4	2	11.57	 73.9799	-63.2604
 55935205	1	1	 8.03	 68.7354	 -6.9963
 55977436	1	1	15.23	 69.0800	 -6.9034
 55997020	2	4	13.32	 69.4489	 -8.8286
 55997717	2	4	 8.30	 69.4231	-11.0400
 56097074	2	4	 8.04	 70.1250	-10.6271
 56124677	1	1	14.57	 70.6953	 -7.2818
 60876518	1	4	 8.02	 66.3783	 15.5418
 60878787	1	4	 8.11	 66.4817	 13.3472
 60879640	1	4	14.13	 66.5335	 15.1412
 60905900	1	4	 3.85	 66.6515	 14.7136
 67772871	1	1	 3.65	 63.8049	 -7.6728
 67772873	1	1	 7.84	 63.8406	 -7.6548
 67776291	1	1	 8.03	 64.0529	 -8.1456
 67807868	2	4	 8.22	 64.4310	 -9.4063
 70961708	2	4	 8.14	 64.7839	-13.3297
 71013467	2	4	13.16	 65.7202	-13.3530
 71028829	2	4	 8.07	 66.1237	-14.6112
 71110456	2	4	 8.06	 67.0450	-12.2653
 77156657	3	2	11.88	 68.1365	-38.9683
 77176282	3	2	12.32	 68.4273	-39.1038
 77231544	3	2	 8.24	 69.4442	-39.9528
 77263680	3	2	 4.14	 70.1394	-41.8642
 77317310	3	2	 8.10	 70.7856	-36.4089
 77372867	3	2	16.29	 72.8413	-37.7184
 77436438	3	2	 8.02	 73.1465	-40.1557
 77437543	3	2	11.28	 73.1245	-36.2571
 77670492	3	2	 8.03	 76.1791	-31.7486
 77702816	3	2	 8.26	 76.5204	-33.4427
 77725345	3	2	 8.07	 77.2966	-35.6385
 77841049	3	1	 8.14	 78.0819	-33.3951
 77893078	3	1	11.95	 78.7246	-33.0742
 77957301	3	1	 9.05	 79.3439	-35.3661
 77959296	2	2	13.60	 79.4856	-30.7970
 77993360	3	1	 8.22	 79.8152	-34.3457
 77994445	3	1	 8.22	 79.7893	-31.5349
 78055054	3	1	12.85	 80.5383	-30.9708
 78055893	3	1	11.21	 80.4831	-33.1202
 78055898	3	1	 9.56	 80.4462	-33.1345
 92845906	2	2	 8.94	 82.5796	-19.2755
 92870715	2	2	 9.58	 82.9625	-21.7979
 92878955	2	2	 8.03	 83.0797	-20.2043
 93127517	2	2	 8.04	 84.9685	-21.0357
 93169098	2	2	 8.04	 85.2017	-18.3892
 93277807	2	2	14.00	 86.0466	-19.7314
 93280676	2	2	 3.10	 86.1140	-22.4505
 93281916	2	2	 5.82	 86.1182	-20.1264
 94945758	2	3	 5.79	 81.7699	-11.9012
 95054629	2	3	 8.04	 86.0659	-15.3489
100592226	3	1	 8.05	 86.5694	-32.9788
100679966	3	1	 8.03	 87.5463	-30.8355
100776118	3	1	11.51	 88.3179	-34.5184
100776705	3	1	 8.13	 88.3742	-35.8251
100831279	3	1	 8.03	 88.7739	-33.9253
114921614	2	4	 8.03	 72.3916	-15.6207
114957519	2	4	 8.07	 72.9502	-12.7460
117648089	2	4	 8.02	 68.0084	-15.9575
117748478	2	4	10.73	 69.2396	-16.2186
117772810	2	4	16.31	 69.6965	-16.4555
117774227	2	4	 4.90	 69.7228	-12.1232
117798466	2	4	11.87	 70.0991	-17.3448
117799854	2	4	 8.51	 70.1955	-13.0627
117842802	2	4	 8.12	 70.3029	-14.8358
117880865	2	4	11.88	 70.7059	-14.8750
117979897	2	4	12.07	 71.8244	-17.1152
121566289	2	1	 8.12	 69.1679	-22.2796
121593764	2	4	 8.11	 69.7276	-18.8872
121639587	2	1	 8.46	 70.3046	-23.5861
121641254	2	4	14.51	 70.5345	-18.3485
138798835	1	2	 8.27	 74.3030	 -6.8601
138941272	1	2	 8.09	 83.2229	  2.6628
139419658	2	2	 8.12	 80.2609	-21.6839
139527866	2	4	 8.12	 63.7517	-18.4849
139551420	2	1	 8.04	 64.4197	-23.7986
139595497	2	1	 8.11	 65.1160	-21.2179
139667919	2	1	 8.09	 65.9271	-22.9780
139668867	2	4	 8.04	 65.9173	-19.4731
139682931	2	1	14.96	 66.2812	-23.6312
139733308	2	1	11.90	 67.2228	-21.4821
139753245	2	1	 8.19	 67.5945	-23.4950
139758332	2	1	 8.02	 67.7137	-20.8303
140281685	3	1	 8.10	 85.2705	-30.4804
140527781	4	3	 8.03	 66.8969	-71.9959
140579075	4	3	15.03	 68.2210	-77.6084
140691463	4	3	12.02	 73.7015	-76.6806
140800765	4	3	 8.02	 74.7115	-72.1251
140802488	4	3	 8.49	 74.8902	-73.0826
140827588	4	3	 7.15	 75.4837	-76.6292
140830390	4	3	11.71	 75.6273	-72.9139
140859822	4	3	12.07	 76.1203	-74.0291
140894354	4	3	 7.71	 76.4887	-73.5932
140898575	4	3	 6.70	 76.6526	-77.5699
140943025	4	3	17.63	 77.3084	-72.7787
140997242	4	3	 8.20	 78.1137	-75.1449
141269997	4	3	 8.59	 82.4732	-73.4704
141334293	4	3	12.73	 83.8379	-75.8912
141479174	4	3	11.61	 86.9851	-76.4877
141482386	4	3	10.08	 86.8207	-72.4226
141527965	4	3	11.55	 87.7151	-75.6884
141606660	4	3	 8.04	 88.9284	-72.4065
141608198	4	3	12.54	 88.9623	-73.9855
141610486	4	3	 8.56	 88.8625	-77.8896
141610893	4	3	16.04	 89.1492	-76.9469
141627237	4	3	 9.06	 89.5477	-76.2367
141628215	4	3	 8.06	 89.8005	-77.2712
141807629	4	3	10.10	 92.5685	-72.0085
141807839	4	3	11.21	 92.8753	-72.2271
141810080	4	3	 4.43	 92.5630	-74.7543
141945095	4	3	 8.03	 95.6582	-73.3449
141975926	4	3	11.12	 95.9177	-75.0758
142052876	4	3	10.89	 97.6940	-76.7171
142086812	4	3	 8.20	 98.4233	-75.6284
142086813	4	3	 8.97	 98.4372	-75.6234
142109251	4	3	 8.04	 99.1913	-76.8026
142110261	4	3	 8.02	 99.2720	-74.7960
142146238	4	3	17.39	 99.9392	-76.8756
143209291	3	1	10.76	 90.3562	-32.4204
143209292	3	1	11.81	 90.3566	-32.4191
143353218	2	3	 8.15	 82.4530	-13.4538
144486643	3	1	 8.02	 84.2540	-37.2107
144486786	3	1	13.30	 84.1477	-36.9141
146308722	2	1	 8.01	 73.7025	-20.3895
146323153	2	1	11.88	 73.9459	-20.5714
146343255	2	4	 8.08	 74.3008	-18.5445
146437520	2	3	 8.37	 75.6276	-18.4741
146517487	2	2	 8.07	 76.3912	-23.2957
146519129	2	2	 8.87	 76.4684	-19.7524
146522418	2	2	 8.46	 76.7083	-21.5860
146536983	2	2	 8.11	 77.0294	-21.4719
146538232	2	3	 7.78	 77.1491	-18.1802
146539195	2	2	11.62	 77.1139	-21.0291
146817359	1	1	 8.17	 71.6514	 -6.2178
146819340	2	4	10.00	 71.7149	-11.2802
149039372	4	2	 8.43	 78.3547	-65.2360
149059708	4	2	12.94	 80.4038	-60.6153
149121385	4	2	 8.13	 80.9201	-63.6150
149216532	4	2	13.22	 82.0529	-63.6062
149218683	4	2	15.22	 82.2036	-60.5051
149347480	4	2	 7.90	 83.6093	-60.1040
149347629	4	2	12.79	 83.6486	-60.1827
149422364	4	2	10.07	 84.5488	-63.1041
149423433	4	2	 8.13	 84.6103	-61.1668
149503727	4	2	10.32	 85.8485	-63.7676
149540525	4	2	 8.39	 86.3013	-62.9169
149575726	4	2	 8.26	 86.7690	-64.7627
149601126	4	1	13.40	 86.8510	-60.5213
149601557	4	1	10.02	 87.2826	-60.4984
149603524	4	2	 9.71	 87.1398	-63.9883
149861193	2	1	 9.16	 62.9728	-22.1125
149990841	4	1	11.63	 90.6625	-64.8195
150063627	4	1	 8.00	 91.4257	-60.1056
150098860	4	1	 9.69	 91.7996	-61.9973
150100421	4	1	11.65	 91.9920	-61.2515
150103650	4	1	 8.32	 92.3417	-65.6794
150139182	4	1	 9.51	 92.7520	-65.2102
150141471	4	1	 8.01	 92.7644	-63.2742
150185574	4	1	11.13	 93.4683	-65.5141
150188736	4	1	10.49	 93.7288	-60.6552
150249155	4	1	 8.07	 94.3374	-61.2461
150322340	4	1	 5.94	 95.6288	-60.2183
150357935	4	1	 8.00	 96.1953	-62.8364
150359500	4	1	 9.75	 96.4834	-60.0569
150390490	4	1	 8.28	 96.5365	-64.5532
150393049	4	1	 8.01	 96.7989	-60.1051
150428703	4	1	11.76	 97.1662	-64.5964
150432211	4	1	12.81	 97.2894	-61.7928
151561363	3	4	 8.03	 87.8092	-46.3453
151563386	3	4	 8.48	 87.9272	-42.4983
151584725	3	4	 9.87	 88.3044	-45.0867
152370762	2	1	 8.77	 65.2933	-24.5392
152373379	2	1	13.83	 65.5175	-25.5168
152376867	2	3	10.14	 75.0675	-14.7489
152504097	3	3	 8.15	 63.1826	-47.5656
152504637	3	3	15.27	 63.2124	-45.1694
152539152	3	3	 8.13	 64.1390	-45.3910
152573312	3	2	11.11	 64.5666	-42.0538
152574013	3	2	 8.60	 64.7142	-43.6222
152574751	3	3	10.72	 64.6462	-45.4576
153212208	2	2	 8.19	 90.0282	-27.6229
153708460	3	3	15.51	 65.5468	-47.6950
153723399	3	3	 8.03	 66.0869	-47.4518
153724306	3	3	 8.01	 66.2250	-44.7296
153798637	3	2	 8.00	 67.0267	-42.1294
156888563	3	4	 8.20	 98.9402	-47.2817
158091975	3	4	 8.01	 90.8442	-42.3631
158111564	3	4	 5.84	 91.1178	-45.0352
158111591	3	4	 5.52	 91.1664	-45.0774
158113091	3	4	 8.01	 91.2074	-46.8234
160179030	3	1	 8.04	 79.1351	-36.2656
160328822	3	1	 8.01	 91.2311	-32.8409
160329609	3	1	 9.65	 91.2175	-34.5579
161476008	3	3	 9.26	 72.9733	-46.7870
161477033	3	3	10.06	 73.2614	-45.5403
161528027	3	3	 8.04	 74.0620	-46.4499
161567634	3	2	 8.10	 74.4198	-43.0330
167085242	4	4	 8.13	 95.6652	-66.3128
167087044	4	4	12.97	 95.8849	-68.3127
167203674	4	4	 8.83	 97.0789	-70.2585
167205241	4	4	 8.03	 97.3487	-71.5065
167339584	4	4	 8.44	 98.5407	-68.4770
167415965	4	4	 8.01	 99.4581	-70.9309
167455698	2	4	 8.07	 65.0334	-11.5605
167485724	2	4	14.62	 71.9759	-10.1787
167486494	2	4	 8.16	 72.0671	-11.0645
167486543	2	4	16.30	 72.1335	-10.8973
167524278	4	4	 8.15	100.5792	-65.1343
167554511	4	1	14.67	101.2040	-60.4104
167574282	4	1	10.90	101.3955	-61.3204
167672077	3	1	 8.11	 79.7974	-41.5796
167695608	4	1	11.69	102.9257	-63.4304
167746025	3	1	15.61	 80.8561	-39.1983
167748092	3	1	 8.47	 81.0900	-38.2578
167751145	4	4	 9.74	103.9712	-64.9971
167794129	4	4	 8.84	104.4597	-64.8536
167799624	3	1	 8.35	 81.4841	-40.4052
167810285	4	4	12.79	104.8174	-65.4855
167888736	4	4	11.64	105.1675	-64.6827
168793956	3	2	 8.46	 63.9347	-32.9821
168794172	2	1	 8.16	 63.9849	-31.9878
168873996	3	2	 8.34	 65.3281	-33.8370
169304560	2	3	 9.33	 75.8323	-17.3761
169305167	2	3	15.85	 75.7814	-15.6063
169419750	2	3	 8.03	 77.1432	-17.3282
169451968	2	3	 8.01	 77.5448	-13.7306
170632780	3	2	 8.02	 66.2041	-35.2900
170634116	2	1	 9.68	 66.3709	-30.6004
170636897	2	1	11.07	 66.6356	-30.8032
170699229	2	1	11.81	 67.9111	-30.7142
170729895	3	2	 8.10	 67.9992	-33.8986
170750280	2	1	 8.35	 68.2808	-31.6953
170847981	3	2	 8.33	 70.2273	-33.0655
176380638	1	1	 8.03	 72.1854	 -2.6367
176401306	1	1	 8.04	 72.3306	 -0.8697
176872276	4	4	11.56	100.5172	-73.2534
176935123	4	4	12.47	100.6235	-67.1245
176955267	4	4	11.36	100.9250	-69.4822
176956893	4	4	11.41	100.8331	-66.9476
177036977	4	4	13.73	102.7881	-66.7015
177077336	4	4	10.07	103.2431	-70.6415
177079697	4	4	14.81	103.3046	-66.9974
177115354	4	4	11.55	103.7548	-69.8671
177116487	4	4	10.69	103.8550	-68.1057
177118939	4	4	17.48	104.1639	-67.0379
177119085	4	4	 8.06	104.2108	-67.2271
177238322	4	4	10.37	105.3524	-69.1019
177255827	4	3	10.84	101.6778	-77.0001
177258735	4	4	 7.54	102.2209	-73.2991
177282821	4	4	12.78	102.5058	-72.3769
177284199	4	4	 8.25	102.4187	-74.5569
177306969	4	4	12.20	103.1051	-73.0002
177309385	4	4	 7.16	103.3173	-74.7241
177353450	4	3	12.55	104.6605	-77.1853
177387396	4	4	16.17	104.9821	-73.3942
178807323	2	1	 8.93	 66.2206	-26.4671
178873605	2	1	14.36	 67.2947	-29.0466
178879588	2	1	13.26	 67.4186	-28.1972
178881302	2	1	 8.08	 67.5204	-25.0912
178893906	2	1	13.64	 67.6132	-27.8727
178894913	2	1	 8.04	 67.8107	-27.8447
178946229	2	1	 9.67	 68.8038	-29.6362
178947176	2	1	 9.88	 68.9012	-25.4607
178967253	2	1	 8.12	 69.2576	-28.9529
179034615	2	1	15.38	 64.2105	-25.1939
179034958	2	1	10.71	 64.4046	-24.3307
179201407	4	3	 8.27	 79.3173	-70.2596
179317684	4	3	10.87	 79.7683	-71.8955
179582003	4	3	10.23	 80.4515	-69.9882
180968339	3	4	 8.04	 89.3366	-47.8007
180968439	3	4	 9.74	 89.3161	-47.4763
188969315	2	3	 9.68	 78.5137	-15.0502
189017499	2	3	 8.00	 79.2768	-17.4507
192826603	3	1	13.91	 82.7142	-36.6310
192831602	3	1	11.44	 82.9530	-38.1652
192928325	3	1	 8.29	 83.8150	-39.8061
198052877	3	3	 8.20	 63.2895	-55.4952
198076680	4	2	11.87	 63.9519	-59.3761
198077858	3	3	15.09	 63.8760	-54.3663
198081375	4	2	 8.03	 64.5252	-56.9971
199752417	2	3	 9.36	 81.8540	 -6.6243
199756170	2	3	 8.06	 81.9591	-10.1647
200320747	3	2	 8.10	 76.3735	-42.1245
200322593	3	3	11.51	 76.3095	-47.9375
200364466	3	2	11.16	 77.2651	-42.1552
200368439	3	2	11.82	 77.4655	-42.1288
200369221	3	3	 8.29	 77.5771	-44.0830
200390959	3	3	 8.07	 78.4083	-46.5242
200394475	3	3	13.68	 69.6139	-46.1813
200397541	3	3	 8.02	 69.8810	-45.1241
200475413	1	3	 8.10	 82.5969	  6.5095
200511734	1	3	 9.87	 82.5793	 11.3389
200517741	1	3	 9.23	 82.9886	 11.2948
200525363	1	3	 8.99	 83.0600	  9.8196
200525765	1	3	14.44	 83.0434	 10.2759
200541544	1	3	 8.04	 83.1459	 10.0828
200545781	1	3	14.08	 83.2798	  7.5060
201368234	2	3	 8.46	 83.2489	 -6.8300
201426753	3	1	 9.20	 92.3300	-35.8256
201427724	3	1	 8.33	 92.4085	-34.1802
213034033	1	2	15.22	 74.8346	 -2.4685
213105608	1	2	 8.04	 76.1391	 -0.1271
219200215	3	4	 8.05	 92.5076	-52.7994
219203188	3	4	13.01	 92.6403	-48.7404
219212899	4	1	10.64	 93.3978	-53.3924
219226906	3	3	 8.46	 62.9831	-51.0843
219237485	3	3	 8.04	 64.3983	-52.4838
219240002	3	3	15.51	 64.7909	-53.8466
219244444	3	3	12.63	 65.2734	-48.6551
219251369	3	3	 8.45	 65.4431	-49.3084
219389540	3	3	10.21	 77.0287	-53.2711
219394646	3	3	 8.64	 77.6632	-50.5254
219396049	3	3	12.25	 77.7960	-49.0665
219404010	3	3	 8.31	 78.3490	-48.4937
219425479	3	3	 8.01	 80.2254	-49.7694
220044948	1	2	 9.21	 83.4353	  1.9445
220064505	1	2	 9.65	 83.8477	  0.2392
220071605	1	2	 8.23	 84.0727	  4.4076
220073982	1	2	 9.90	 84.1028	  1.7869
220391375	4	2	 8.02	 68.1286	-56.2256
220391763	4	2	11.63	 68.2415	-57.6959
220399820	3	3	 8.28	 69.1285	-54.6210
220411786	4	2	 8.06	 70.8635	-58.7895
220412239	4	2	 8.01	 70.8468	-57.0927
220414682	4	2	 8.71	 71.1125	-59.3213
220419648	3	3	 8.12	 71.6163	-54.8707
220429730	4	2	17.38	 72.9714	-56.1524
220432563	4	2	11.30	 73.4336	-58.6065
220433363	3	3	 8.71	 73.3813	-55.8599
220433364	3	3	 9.43	 73.3788	-55.8584
220436223	4	2	 5.69	 73.7221	-58.5473
220454990	3	3	 8.23	 74.2749	-55.6125
220459208	3	3	12.57	 74.8284	-53.8816
220473309	4	2	 8.46	 75.1968	-57.2566
220473692	4	2	12.39	 75.1042	-58.5022
220476769	4	2	15.57	 75.5506	-56.6186
220477045	4	2	 8.01	 75.5281	-57.4834
