#
# Full target list for orbit 65, sector 29
# Created Wed Feb  3 18:29:36 EST 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
340703996	1	2	11.33	  6.1842	-27.1374
340704781	1	2	14.28	  8.4745	-27.1400
340705588	2	3	 8.39	 16.6098	-32.6255
340707703	2	3	15.07	 17.0863	-35.5785
348839788	4	4	 9.30	 98.8426	-57.6261
348842168	4	4	11.49	 98.8557	-57.2715
348898049	4	4	10.76	106.0603	-62.9025
348899264	4	4	 8.04	106.1815	-60.8080
348992108	4	4	14.63	106.9111	-62.3781
349095149	4	3	10.06	107.9210	-65.5088
349156177	4	3	 7.40	108.3160	-64.8734
349269343	4	4	 8.00	108.9713	-61.8623
349271114	4	4	10.99	109.2049	-60.3506
349273907	4	3	 6.99	109.1556	-64.1245
349275562	4	3	 9.13	109.4547	-65.2141
349374765	4	4	 9.91	110.2133	-62.1688
349411267	4	4	 8.05	110.3439	-60.2531
349480752	4	3	 8.07	110.8602	-64.6920
349483265	4	4	11.38	111.0206	-61.4150
349574361	4	3	 9.53	111.7157	-65.8852
349576261	4	3	11.53	112.0100	-63.5178
349784936	4	3	 8.08	113.1789	-63.3246
349791471	4	4	 8.16	113.4655	-60.7499
349829477	4	4	 8.31	113.6764	-61.0828
349902873	4	3	 8.62	113.7696	-63.0394
349972412	4	3	12.55	114.4673	-62.0783
350146296	4	3	 9.17	115.7396	-63.7019
350297825	4	1	14.13	 83.7107	-58.0280
350433903	4	1	 8.16	 85.0495	-56.5068
350444342	4	1	 8.07	 85.3598	-59.7669
350580827	4	4	 8.12	 86.8899	-55.0365
350583903	4	4	13.22	 87.1889	-58.2900
350618622	4	4	 8.58	 87.4018	-54.9103
350620310	4	4	 8.13	 87.3268	-58.6712
350765919	4	4	14.18	 89.3022	-59.5905
350954375	4	4	10.65	 90.9498	-55.2943
354605791	2	2	 9.60	 22.9734	-50.4507
354606558	3	1	 9.10	 24.4909	-52.9587
354654335	2	2	 8.02	 25.0955	-47.9127
354655660	3	1	 8.42	 33.8577	-52.2679
355508120	3	2	 8.01	 15.1946	-57.7191
355509914	3	2	14.67	 15.5251	-59.0877
355636844	2	1	10.24	358.3022	-56.0133
355789337	3	2	11.12	 29.5687	-62.2098
358069236	3	3	 8.16	 38.3512	-65.6394
358105506	4	2	 8.50	 48.2689	-77.0280
358107357	3	3	 8.18	 51.0560	-73.4922
358107516	3	3	12.17	 51.2284	-73.9575
358253471	3	4	 8.11	 61.8423	-59.7303
358288509	3	4	17.04	 62.1208	-54.6599
358576515	3	4	 8.05	 38.6978	-61.0625
358577149	3	3	 8.11	 38.5708	-63.9128
364266095	3	4	16.11	 62.7887	-59.1879
364326091	4	4	 8.01	101.7985	-61.8131
364393429	4	3	 9.24	116.5937	-64.0558
364422623	4	3	 8.26	119.7002	-64.5444
364588501	4	2	 9.20	 85.4034	-76.0722
364588606	4	2	 9.74	 85.0679	-76.3861
369397090	1	1	12.35	358.1506	-30.1693
369666165	2	1	 4.89	 12.6722	-50.9866
369705840	3	3	14.28	 32.4622	-63.3110
369707376	3	3	 9.99	 32.8166	-63.2300
369771333	3	3	 8.33	 35.3847	-61.8949
370227221	4	2	 8.10	 85.5473	-74.5674
370236000	4	3	 8.21	105.2593	-74.0174
373604254	4	2	 8.08	 81.1833	-67.8974
374829238	4	1	11.50	 88.3372	-65.6334
374858770	4	4	 9.90	 88.3169	-61.3284
374997123	4	4	10.30	 99.2248	-63.0794
375034557	4	4	 5.64	 99.5009	-61.5330
380824781	2	4	 8.23	357.2250	-34.3974
380826878	1	1	15.56	357.6276	-31.4593
380859663	1	1	 7.19	357.9527	-33.4521
381204905	3	3	 9.55	 30.8487	-65.5134
381949122	4	1	 4.22	 76.3774	-57.4720
381949148	4	1	 7.36	 76.4470	-57.5531
381949410	4	1	11.04	 76.5439	-58.4745
382042960	4	1	17.01	 79.0502	-56.0113
382044998	4	1	10.64	 79.4256	-57.1154
382145521	4	1	 8.00	 80.3227	-56.2452
382198673	4	1	 8.39	 81.5633	-59.1928
382256692	4	1	14.14	 82.3691	-58.9128
382303117	4	1	15.96	 83.2785	-56.0647
382419353	3	1	 8.03	 34.9403	-56.1150
382427577	2	4	 8.85	350.4641	-42.8383
382437043	4	3	 9.31	117.2148	-63.7201
382523220	2	1	 8.99	 13.2080	-48.9906
382524669	2	1	 8.07	 13.3698	-51.0528
382551780	2	2	 8.01	 19.4223	-51.0346
382633618	3	3	11.96	 39.5463	-63.9941
388104525	3	4	11.60	 55.9337	-65.1938
388104889	3	4	 8.02	 55.9867	-63.5270
388131027	4	2	 8.03	 65.3618	-69.6155
388182039	4	3	10.37	105.6468	-75.1466
389570196	4	2	 7.85	 86.5232	-67.7097
389627404	2	4	14.46	359.7912	-40.5557
389669796	4	2	10.39	 86.8992	-69.3664
389920950	4	2	 7.18	 87.7523	-69.9028
389924075	4	2	10.40	 87.8741	-70.9918
391892593	4	3	 9.35	115.4550	-68.0283
391925969	4	3	 9.97	107.7566	-75.1680
393030999	4	2	 8.20	 65.6851	-78.7144
393491149	4	1	12.54	 67.5997	-59.4683
394698511	4	2	15.79	 58.3993	-78.1875
396721282	4	1	 8.68	 65.7605	-55.3091
399572343	1	4	 8.47	341.2470	-21.8196
401838998	2	2	 8.09	 26.2289	-43.6456
402026209	2	4	11.83	353.5629	-42.0619
402027326	2	4	13.86	353.5091	-47.2408
402028558	2	2	 8.19	 16.6940	-48.0780
402128282	2	3	 8.31	 11.4480	-30.6638
402130217	2	3	 8.18	 11.6948	-32.2443
402313506	1	4	10.83	339.5849	-16.7220
402313808	1	4	 8.30	339.6405	-15.2993
402339032	1	3	13.51	353.9031	-16.2963
404765784	4	2	10.61	 84.9251	-67.9396
404852431	4	2	 8.77	 85.2302	-69.1753
406350895	1	2	 9.99	  5.1073	-17.8086
415969908	1	4	11.30	343.7081	-18.9127
419011435	1	4	 8.46	343.1185	-21.1829
425064757	4	2	11.36	 82.9180	-69.8836
425863973	2	4	 8.07	352.1288	-46.7140
425905468	3	2	 8.05	  2.2080	-60.1373
425933644	3	2	11.40	  3.6997	-60.0636
425940120	3	2	 8.04	  8.7955	-62.0815
425997655	3	4	 8.75	 55.4587	-62.7673
426017070	3	3	15.95	 42.8124	-73.1555
426017248	3	3	14.89	 42.8399	-72.5759
431380369	3	3	 7.82	 49.0335	-73.5488
431589361	3	3	12.25	 50.7573	-74.3164
434099579	1	3	 8.02	352.8223	-12.1947
434103922	1	3	 8.23	354.2581	-17.5621
434105513	1	3	 8.13	354.4094	-15.2147
434106275	1	3	 9.21	354.5323	-16.2366
434109269	1	3	 8.25	354.8929	-11.9530
439397980	1	3	14.72	  0.8833	-16.7329
441462736	1	4	 7.36	353.0330	-21.8011
441469568	1	4	 8.39	353.6570	-20.1707
453099619	4	3	 8.10	116.0861	-69.5105
469935712	2	1	 8.29	355.6172	-50.6995
471013513	4	1	14.84	 69.3921	-61.9619
471013553	4	2	15.80	 85.8925	-68.3728
471013582	4	2	16.10	 91.1287	-71.4231
471016669	1	3	10.31	359.3358	-12.9802
609951285	2	3	16.23	  5.4156	-31.6838
616346359	2	2	17.32	 17.2557	-43.3230
630952812	3	3	14.00	 38.4338	-75.0816
631345868	3	3	15.85	 34.5812	-64.2979
631474881	3	2	 8.57	 24.7339	-58.5801
631474882	3	2	 8.81	 24.7341	-58.5795
650213298	4	2	15.89	 53.8363	-74.2836
650561395	3	4	17.15	 52.0482	-60.3775
684404985	4	1	17.54	 78.7080	-65.0209
684905448	4	1	16.89	 64.7268	-64.5899
684974870	4	1	17.04	 69.8522	-59.5905
685012668	3	4	17.79	 62.6390	-58.8676
685268302	4	1	17.07	 66.4109	-57.2433
724424609	4	2	17.39	 89.8641	-74.7080
724466209	4	2	16.37	 88.3658	-73.9629
724776782	4	2	16.72	 85.2795	-72.9378
732233859	4	1	17.93	 85.2323	-65.3673
734469567	4	1	17.44	 80.9150	-60.4213
734535817	4	1	16.57	 84.3045	-55.1606
734560548	4	4	17.40	 89.8385	-54.8701
735179973	4	2	17.46	 97.1163	-77.8120
737123430	4	4	17.54	 93.8404	-64.4414
764653535	4	3	17.17	115.9315	-74.2559
765351071	4	3	17.13	105.0705	-65.1461
765434315	4	4	17.06	105.2922	-63.2006
765549141	4	3	16.28	111.9611	-64.3586
766204378	4	4	17.52	108.2174	-60.2812
804791406	4	3	16.40	120.6812	-74.8185
2056034502	1	1	 5.26	344.8989	-29.4623
